scenario,run,success,fail_reason,detected_seconds,promoted_seconds,rto_seconds,rejoin_seconds,pgpool_recovery_seconds,split_brain,primary_count_end,standby_count_end,integrity_ok,txid_before,txid_after,marker_exists_after,readyz_5xx_count,readyz_non200_count,readyz_avg_ms,readyz_p95_ms,alert_fired,alert_cleared_after,deleted_pod,promoted_pod,started_at,finished_at
primary_failover,1,True,,0.13,0.13,23.16,31.57,32.45,False,1,2,True,1431,1446,True,5,5,43.11,153.38,False,True,postgres-ha-0,postgres-ha-1,2026-03-24T17:57:57.470051+00:00,2026-03-24T18:01:50.121186+00:00
primary_failover,2,True,,0.13,0.13,32.94,41.17,46.69,False,1,2,True,1449,1464,True,1,1,29.25,48.61,False,True,postgres-ha-1,postgres-ha-0,2026-03-24T18:01:52.121430+00:00,2026-03-24T18:04:17.716809+00:00
primary_failover,3,True,,0.13,1.41,22.9,31.29,40.98,False,1,2,True,1466,1482,True,0,0,89.39,1037.81,False,False,postgres-ha-0,postgres-ha-1,2026-03-24T18:04:19.717268+00:00,2026-03-24T18:07:41.215806+00:00
primary_failover,4,True,,0.15,0.15,23.13,31.25,32.17,False,1,2,True,1484,1500,True,0,0,34.06,42.26,False,True,postgres-ha-1,postgres-ha-0,2026-03-24T18:07:43.216342+00:00,2026-03-24T18:09:23.372508+00:00
primary_failover,5,False,postcheck criteria not met,0.13,1.39,26.02,31.24,,False,1,2,True,1502,1518,True,1,1,,,False,False,postgres-ha-0,postgres-ha-1,2026-03-24T18:09:25.373072+00:00,2026-03-24T18:13:01.709578+00:00
primary_failover,6,True,,0.14,0.14,18.57,26.55,42.63,False,1,2,True,1549,1565,True,40,40,48.41,201.35,False,True,postgres-ha-1,postgres-ha-0,2026-03-24T18:15:53.892888+00:00,2026-03-24T18:19:45.546696+00:00
primary_failover,7,True,,0.14,0.14,33.16,41.37,56.52,False,1,2,True,1567,1583,True,0,0,,,False,False,postgres-ha-0,postgres-ha-1,2026-03-24T18:19:47.546878+00:00,2026-03-24T18:21:25.090082+00:00
primary_failover,8,True,,0.14,0.14,22.63,31.09,52.07,False,1,2,True,1585,1600,True,0,0,51.27,100.73,True,True,postgres-ha-1,postgres-ha-0,2026-03-24T18:21:27.090393+00:00,2026-03-24T18:23:06.296706+00:00
primary_failover,9,True,,0.17,0.17,23.4,31.07,32.01,False,1,2,True,1602,1617,True,0,0,22.72,46.26,False,True,postgres-ha-0,postgres-ha-1,2026-03-24T18:23:08.296969+00:00,2026-03-24T18:24:47.558062+00:00
primary_failover,10,True,,0.14,0.14,18.2,26.13,32.57,False,1,2,True,1620,1635,True,1,1,31.86,105.61,False,True,postgres-ha-1,postgres-ha-0,2026-03-24T18:24:49.558239+00:00,2026-03-24T18:28:43.752634+00:00
standby_recovery,1,False,postcheck criteria not met,,,,121.08,,False,1,2,True,1637,1647,True,0,0,212.21,1038.73,True,False,postgres-ha-1,,2026-03-24T18:28:45.752762+00:00,2026-03-24T18:31:29.443755+00:00
standby_recovery,2,False,postcheck criteria not met,,,,122.16,,False,1,2,True,1684,1694,True,12,12,116.52,713.81,False,True,postgres-ha-0,,2026-03-24T18:33:30.307242+00:00,2026-03-24T18:35:42.056938+00:00
standby_recovery,3,False,postcheck criteria not met,,,,122.56,,False,1,2,True,1728,1739,True,0,0,41.23,84.02,False,True,postgres-ha-0,,2026-03-24T18:37:58.989156+00:00,2026-03-24T18:40:21.332685+00:00
standby_recovery,4,False,postcheck criteria not met,,,,121.87,,False,1,2,True,1779,1789,True,9,9,31.66,74.65,True,False,postgres-ha-0,,2026-03-24T18:42:33.619335+00:00,2026-03-24T18:45:59.677480+00:00
standby_recovery,5,False,postcheck criteria not met,,,,122.98,,False,1,2,True,1824,1834,True,0,0,,,True,False,postgres-ha-0,,2026-03-24T18:48:06.898091+00:00,2026-03-24T18:50:20.181690+00:00
standby_recovery,6,False,postcheck criteria not met,,,,121.19,,False,1,2,True,1874,1884,True,0,0,,,False,True,postgres-ha-0,,2026-03-24T18:52:16.345375+00:00,2026-03-24T18:54:27.358354+00:00
standby_recovery,7,False,postcheck criteria not met,,,,121.17,,False,1,2,True,1920,1930,True,0,0,,,False,True,postgres-ha-0,,2026-03-24T18:56:34.118374+00:00,2026-03-24T18:59:57.698034+00:00
standby_recovery,8,False,postcheck criteria not met,,,,122.66,,False,1,2,True,1970,1980,True,0,0,44.1,183.52,False,True,postgres-ha-0,,2026-03-24T19:02:14.442418+00:00,2026-03-24T19:04:52.987959+00:00
standby_recovery,9,False,postcheck criteria not met,,,,121.28,,False,1,2,True,2019,2030,True,0,0,,,True,True,postgres-ha-0,,2026-03-24T19:06:39.084596+00:00,2026-03-24T19:09:21.299330+00:00
standby_recovery,10,False,postcheck criteria not met,,,,122.52,,False,1,2,True,2070,2080,True,0,0,,,True,False,postgres-ha-0,,2026-03-24T19:11:52.773047+00:00,2026-03-24T19:14:04.983389+00:00
